Molecule,Variability_CV,VirtualProfileId,ParameterSetId,PopulationIndividualId,Dose_mg_kg,AUC0_28d_ug_h_mL,Cmax_ug_mL,Lambda_z_1_h,AUCinf_ug_h_mL,Terminal_CL_L_day,Profile_type
Golimumab,0.3,1029,21,28,10,30608.84745856759,267.3590362071991,0.004455066072959793,32078.490188521788,0.04296050644980734,Sparse reduced-study candidate
Golimumab,0.3,1029,21,28,30,88434.89378864957,801.8394470214844,0.004445545097065207,92709.12642211787,0.0445945799889004,Sparse reduced-study candidate
Golimumab,0.3,1030,21,29,0.1,273.407484101376,2.354961074888706,0.004541881396212077,285.80076466872043,0.0424682133193495,Sparse reduced-study candidate
Golimumab,0.3,1030,21,29,1,2741.4986621688054,23.549529165029526,0.004467931840180902,2872.0371018005335,0.04226076269410041,Sparse reduced-study candidate
Golimumab,0.3,1030,21,29,3,8199.949263989793,70.6473559141159,0.004460853042762283,8592.19654814795,0.04237838755004035,Sparse reduced-study candidate
Golimumab,0.3,1030,21,29,10,27019.149660932926,235.4751706123352,0.004455734482400959,28315.872863124467,0.04286446651125816,Sparse reduced-study candidate
Golimumab,0.3,1030,21,29,30,78406.64335104864,706.2493085861206,0.004447140364011957,82191.81044899131,0.04430166864976283,Sparse reduced-study candidate
Golimumab,0.3,1031,21,30,0.1,271.82208963137424,2.3413633927702904,0.004542268517895244,284.1400814769635,0.042469778265248316,Sparse reduced-study candidate
Golimumab,0.3,1031,21,30,1,2725.6875749622745,23.413554579019547,0.004467988356883523,2855.468370524339,0.042260549551737255,Sparse reduced-study candidate
Golimumab,0.3,1031,21,30,3,8152.829622614556,70.23944556713104,0.004460878596615555,8542.816501239875,0.04237724029836581,Sparse reduced-study candidate
Golimumab,0.3,1031,21,30,10,26865.725760739526,234.11568403244019,0.004455763617573738,28155.061283949966,0.04286038000377336,Sparse reduced-study candidate
Golimumab,0.3,1031,21,30,30,77976.11114573422,702.1732091903687,0.004447209021200484,81740.307812977,0.04428916374112464,Sparse reduced-study candidate
Golimumab,0.3,1032,21,31,0.1,322.4733641571408,2.7757820673286915,0.004531637716582228,337.19874098254274,0.04242705428869572,Sparse reduced-study candidate
Golimumab,0.3,1032,21,31,1,3230.675378154963,27.75767147541046,0.0044664478021267185,3384.6554349791945,0.042268259102227125,Sparse reduced-study candidate
