Molecule,Variability_CV,Design,N_per_group,Total_animals,Dose_mg_kg,Endpoint,Fraction_within_2fold,Median_fold_error,Fold_error_5th_percentile,Fold_error_95th_percentile
Golimumab,0.3,5 dose groups,6,30,0.1,Terminal clearance,1,1.0141640034994746,0.8638142527315094,1.1954677193907888
Golimumab,0.3,5 dose groups,6,30,1,AUC0-28d,1,0.9262779228162994,0.7281734032582685,1.1287359303377578
Golimumab,0.3,5 dose groups,6,30,1,Cmax,1,0.8956543661769454,0.7608727513331889,1.0251211959509927
Golimumab,0.3,5 dose groups,6,30,1,Terminal clearance,1,1.0144193226125697,0.8488038620769849,1.2012546965831816
Golimumab,0.3,5 dose groups,6,30,3,AUC0-28d,1,0.9138350436090812,0.7226888611667273,1.1318300720081262
Golimumab,0.3,5 dose groups,6,30,3,Cmax,1,0.8921527446355542,0.747824959860819,1.0347405191225603
Golimumab,0.3,5 dose groups,6,30,3,Terminal clearance,1,1.0152338413943622,0.8589573574290126,1.1921449678562563
Golimumab,0.3,5 dose groups,6,30,10,AUC0-28d,1,0.909889690742683,0.7372680589185701,1.1259579242310938
Golimumab,0.3,5 dose groups,6,30,10,Cmax,1,0.8872868431838525,0.7608611823701531,1.0300932963123273
Golimumab,0.3,5 dose groups,6,30,10,Terminal clearance,1,1.0122149109253031,0.8527495266021387,1.1932377045617595
Golimumab,0.3,5 dose groups,6,30,30,AUC0-28d,1,0.9250839378175746,0.7389302937104598,1.13000959574129
Golimumab,0.3,5 dose groups,6,30,30,Cmax,1,0.8909712580442055,0.7626385819326061,1.0277134677488524
Golimumab,0.3,5 dose groups,6,30,30,Terminal clearance,1,1.0040048706921665,0.8527232086401699,1.182978076211829
Golimumab,0.5,2 dose groups,2,4,1,AUC0-28d,0.98,1.0286908438127296,0.6191655435208692,1.658807153097351
Golimumab,0.5,2 dose groups,2,4,1,Cmax,1,0.887984054453854,0.6727076425325287,1.120937139380875
Golimumab,0.5,2 dose groups,2,4,1,Terminal clearance,0.981,0.8928487197185102,0.5691669330277139,1.347721738944943
Golimumab,0.5,2 dose groups,2,4,10,AUC0-28d,0.992,1.0403023840073216,0.6436731076759881,1.6347933064862001
Golimumab,0.5,2 dose groups,2,4,10,Cmax,1,0.8948872690379961,0.6730210627905118,1.1173253776308025
Golimumab,0.5,2 dose groups,2,4,10,Terminal clearance,0.984,0.8864476749675357,0.5751234083512576,1.370509916400069
Golimumab,0.5,2 dose groups,3,6,1,AUC0-28d,0.999,1.044237344361143,0.7170284077244276,1.5731570170908253
