Molecule,Variability_CV,Replicate,Design,N_per_group,Total_animals,Fold_error,Within_2fold,Dose_mg_kg,Endpoint,Study_value,Reference_value
Golimumab,0.3,49,2 dose groups,2,4,1.2008585776434846,TRUE,10,Cmax,311.54953837394714,259.43899154663086
Golimumab,0.3,49,2 dose groups,2,4,0.9868167327510909,TRUE,10,Terminal clearance,0.058259404265912085,0.05903771423037585
Golimumab,0.3,50,2 dose groups,2,4,0.701433947652961,TRUE,1,AUC0-28d,1591.22744573532,2268.5349790378127
Golimumab,0.3,50,2 dose groups,2,4,0.8952971820323508,TRUE,1,Cmax,23.230309411883354,25.94703733921051
Golimumab,0.3,50,2 dose groups,2,4,1.29145561899832,TRUE,1,Terminal clearance,0.0748705911357486,0.05797380106164221
Golimumab,0.3,50,2 dose groups,2,4,1.0010783086732338,TRUE,10,AUC0-28d,22296.25707543683,22272.240725090618
Golimumab,0.3,50,2 dose groups,2,4,0.9980316881799284,TRUE,10,Cmax,258.9283347129822,259.43899154663086
Golimumab,0.3,50,2 dose groups,2,4,0.9942233692102244,TRUE,10,Terminal clearance,0.058696675152594684,0.05903771423037585
Golimumab,0.3,51,2 dose groups,2,4,0.8457275541209991,TRUE,1,AUC0-28d,1918.5625392595812,2268.5349790378127
Golimumab,0.3,51,2 dose groups,2,4,0.8052709271510171,TRUE,1,Cmax,20.89439481496811,25.94703733921051
Golimumab,0.3,51,2 dose groups,2,4,1.0162065195614123,TRUE,1,Terminal clearance,0.05891335460259714,0.05797380106164221
Golimumab,0.3,51,2 dose groups,2,4,0.9035981567540585,TRUE,10,AUC0-28d,20125.15566597456,22272.240725090618
Golimumab,0.3,51,2 dose groups,2,4,0.7555612493865825,TRUE,10,Cmax,196.02204859256744,259.43899154663086
Golimumab,0.3,51,2 dose groups,2,4,0.8241399244936299,TRUE,10,Terminal clearance,0.04865533734809845,0.05903771423037585
Golimumab,0.3,52,2 dose groups,2,4,0.8806547955671247,TRUE,1,AUC0-28d,1997.7962082014164,2268.5349790378127
Golimumab,0.3,52,2 dose groups,2,4,0.7643600926148304,TRUE,1,Cmax,19.83287986367941,25.94703733921051
Golimumab,0.3,52,2 dose groups,2,4,0.8822928429533794,TRUE,1,Terminal clearance,0.05114986975548995,0.05797380106164221
Golimumab,0.3,52,2 dose groups,2,4,0.7437248044968549,TRUE,10,AUC0-28d,16564.41787897491,22272.240725090618
Golimumab,0.3,52,2 dose groups,2,4,0.8346772803965572,TRUE,10,Cmax,216.54783189296722,259.43899154663086
Golimumab,0.3,52,2 dose groups,2,4,1.118474026265564,TRUE,10,Terminal clearance,0.06603214993676425,0.05903771423037585
Golimumab,0.3,53,2 dose groups,2,4,0.7810231256249206,TRUE,1,AUC0-28d,1771.7782799175761,2268.5349790378127
Golimumab,0.3,53,2 dose groups,2,4,0.8657976976886264,TRUE,1,Cmax,22.46488519012928,25.94703733921051
Golimumab,0.3,53,2 dose groups,2,4,1.1410453217336503,TRUE,1,Terminal clearance,0.06615073448450418,0.05797380106164221
Golimumab,0.3,53,2 dose groups,2,4,0.6698213292219721,TRUE,10,AUC0-28d,14918.421887231938,22272.240725090618
Golimumab,0.3,53,2 dose groups,2,4,0.7125549318762027,TRUE,10,Cmax,184.86453294754028,259.43899154663086
Golimumab,0.3,53,2 dose groups,2,4,1.0709674600652463,TRUE,10,Terminal clearance,0.06322747085736347,0.05903771423037585
Golimumab,0.3,54,2 dose groups,2,4,0.7998656279553237,TRUE,1,AUC0-28d,1814.5231555466971,2268.5349790378127
Golimumab,0.3,54,2 dose groups,2,4,0.6987432191975058,TRUE,1,Cmax,18.130316399037838,25.94703733921051
Golimumab,0.3,54,2 dose groups,2,4,0.8780483046473119,TRUE,1,Terminal clearance,0.05090379773613547,0.05797380106164221
Golimumab,0.3,54,2 dose groups,2,4,0.7695132164974945,TRUE,10,AUC0-28d,17138.78359897097,22272.240725090618
Golimumab,0.3,54,2 dose groups,2,4,0.7965639318817166,TRUE,10,Cmax,206.6597431898117,259.43899154663086
Golimumab,0.3,54,2 dose groups,2,4,1.1263852527630502,TRUE,10,Terminal clearance,0.06649921066593463,0.05903771423037585
Golimumab,0.3,55,2 dose groups,2,4,1.2649639723182213,TRUE,1,AUC0-28d,2869.615018426505,2268.5349790378127
Golimumab,0.3,55,2 dose groups,2,4,0.968773721825406,TRUE,1,Cmax,25.136807933449745,25.94703733921051
Golimumab,0.3,55,2 dose groups,2,4,0.7544224304871474,TRUE,1,Terminal clearance,0.04373673590150248,0.05797380106164221
Golimumab,0.3,55,2 dose groups,2,4,0.5866892417095215,TRUE,10,AUC0-28d,13066.884022175338,22272.240725090618
Golimumab,0.3,55,2 dose groups,2,4,0.6279245710213331,TRUE,10,Cmax,162.90811747312546,259.43899154663086
Golimumab,0.3,55,2 dose groups,2,4,1.0752529065901681,TRUE,10,Terminal clearance,0.06348047382465136,0.05903771423037585
Golimumab,0.3,56,2 dose groups,2,4,0.8505039616250883,TRUE,1,AUC0-28d,1929.3979867567464,2268.5349790378127
Golimumab,0.3,56,2 dose groups,2,4,0.9908372376536244,TRUE,1,Cmax,25.70929080247879,25.94703733921051
Golimumab,0.3,56,2 dose groups,2,4,1.1907833280735762,TRUE,1,Terminal clearance,0.06903423576925774,0.05797380106164221
Golimumab,0.3,56,2 dose groups,2,4,1.0478913086780715,TRUE,10,AUC0-28d,23338.887480608246,22272.240725090618
Golimumab,0.3,56,2 dose groups,2,4,0.9659954110861761,TRUE,10,Cmax,250.61687529087067,259.43899154663086
Golimumab,0.3,56,2 dose groups,2,4,0.9617483691743891,TRUE,10,Terminal clearance,0.0567794253808476,0.05903771423037585
Golimumab,0.3,57,2 dose groups,2,4,0.8310327714309542,TRUE,1,AUC0-28d,1885.2269107178552,2268.5349790378127
Golimumab,0.3,57,2 dose groups,2,4,0.9028171191336561,TRUE,1,Cmax,23.42542950063944,25.94703733921051
Golimumab,0.3,57,2 dose groups,2,4,1.0756105554863546,TRUE,1,Terminal clearance,0.06235723236356839,0.05797380106164221
Golimumab,0.3,57,2 dose groups,2,4,0.8836998793118959,TRUE,10,AUC0-28d,19681.97644076807,22272.240725090618
Golimumab,0.3,57,2 dose groups,2,4,0.8814519452914353,TRUE,10,Cmax,228.683003783226,259.43899154663086
Golimumab,0.3,57,2 dose groups,2,4,0.9891712264517732,TRUE,10,Terminal clearance,0.05839840819217018,0.05903771423037585
Golimumab,0.3,58,2 dose groups,2,4,0.9826452907243262,TRUE,1,AUC0-28d,2229.1652139949147,2268.5349790378127
Golimumab,0.3,58,2 dose groups,2,4,0.9286474196339444,TRUE,1,Cmax,24.095649272203445,25.94703733921051
Golimumab,0.3,58,2 dose groups,2,4,0.942976476374882,TRUE,1,Terminal clearance,0.05466793064716577,0.05797380106164221
Golimumab,0.3,58,2 dose groups,2,4,1.1705855021965579,TRUE,10,AUC0-28d,26071.56209422283,22272.240725090618
Golimumab,0.3,58,2 dose groups,2,4,1.0664483406024448,TRUE,10,Cmax,276.6782820224762,259.43899154663086
Golimumab,0.3,58,2 dose groups,2,4,0.9447018959881751,TRUE,10,Terminal clearance,0.05577304056824413,0.05903771423037585
Golimumab,0.3,59,2 dose groups,2,4,0.7600849973834345,TRUE,1,AUC0-28d,1724.2794036061855,2268.5349790378127
Golimumab,0.3,59,2 dose groups,2,4,0.9430181940693843,TRUE,1,Cmax,24.468528293073177,25.94703733921051
Golimumab,0.3,59,2 dose groups,2,4,1.3173454121560022,TRUE,1,Terminal clearance,0.07637152085379914,0.05797380106164221
Golimumab,0.3,59,2 dose groups,2,4,0.9798646970176995,TRUE,10,AUC0-28d,21823.782409996187,22272.240725090618
Golimumab,0.3,59,2 dose groups,2,4,0.8674940794878723,TRUE,10,Cmax,225.0617891550064,259.43899154663086
Golimumab,0.3,59,2 dose groups,2,4,0.9319379421598203,TRUE,10,Terminal clearance,0.05501948590967601,0.05903771423037585
Golimumab,0.3,60,2 dose groups,2,4,0.969826217838395,TRUE,1,AUC0-28d,2200.0846987543446,2268.5349790378127
Golimumab,0.3,60,2 dose groups,2,4,0.9425535133369422,TRUE,1,Cmax,24.45647120475769,25.94703733921051
Golimumab,0.3,60,2 dose groups,2,4,1.0975286011025542,TRUE,1,Terminal clearance,0.06362790477978195,0.05797380106164221
Golimumab,0.3,60,2 dose groups,2,4,0.9750621819307342,TRUE,10,AUC0-28d,21716.819637893415,22272.240725090618
Golimumab,0.3,60,2 dose groups,2,4,1.0580629586846124,TRUE,10,Cmax,274.5027869939804,259.43899154663086
Golimumab,0.3,60,2 dose groups,2,4,1.201892839194238,TRUE,10,Terminal clearance,0.0709570059758845,0.05903771423037585
Golimumab,0.3,61,2 dose groups,2,4,1.2687310206565163,TRUE,1,AUC0-28d,2878.160699349653,2268.5349790378127
Golimumab,0.3,61,2 dose groups,2,4,0.982551805968519,TRUE,1,Cmax,25.49430839717388,25.94703733921051
Golimumab,0.3,61,2 dose groups,2,4,0.7795830460873311,TRUE,1,Terminal clearance,0.04519539242489598,0.05797380106164221
Golimumab,0.3,61,2 dose groups,2,4,0.9282121867419738,TRUE,10,AUC0-28d,20673.365267080007,22272.240725090618
Golimumab,0.3,61,2 dose groups,2,4,0.9746831940163542,TRUE,10,Cmax,252.87082493305206,259.43899154663086
Golimumab,0.3,61,2 dose groups,2,4,1.0544260877186007,TRUE,10,Terminal clearance,0.062250906043783964,0.05903771423037585
Golimumab,0.3,62,2 dose groups,2,4,1.6131197677882068,TRUE,1,AUC0-28d,3659.418618604901,2268.5349790378127
Golimumab,0.3,62,2 dose groups,2,4,1.1767824082130107,TRUE,1,Cmax,30.534017086029053,25.94703733921051
Golimumab,0.3,62,2 dose groups,2,4,0.7081291986201608,TRUE,1,Terminal clearance,0.041052941286745324,0.05797380106164221
Golimumab,0.3,62,2 dose groups,2,4,0.8450344815860192,TRUE,10,AUC0-28d,18820.811394885975,22272.240725090618
Golimumab,0.3,62,2 dose groups,2,4,0.7708547455075788,TRUE,10,Cmax,199.98977780342102,259.43899154663086
Golimumab,0.3,62,2 dose groups,2,4,0.9085980039922198,TRUE,10,Terminal clearance,0.053641549309982564,0.05903771423037585
Golimumab,0.3,63,2 dose groups,2,4,0.5099403021809541,TRUE,1,AUC0-28d,1156.8174127186066,2268.5349790378127
Golimumab,0.3,63,2 dose groups,2,4,0.710277496470692,TRUE,1,Cmax,18.429596722126007,25.94703733921051
Golimumab,0.3,63,2 dose groups,2,4,1.4190804353752602,TRUE,1,Terminal clearance,0.08226948685091395,0.05797380106164221
Golimumab,0.3,63,2 dose groups,2,4,0.8653148599141515,TRUE,10,AUC0-28d,19272.500863006047,22272.240725090618
Golimumab,0.3,63,2 dose groups,2,4,1.0280193922618424,TRUE,10,Cmax,266.7083144187927,259.43899154663086
Golimumab,0.3,63,2 dose groups,2,4,1.1971513027766814,TRUE,10,Terminal clearance,0.07067707650385187,0.05903771423037585
Golimumab,0.3,64,2 dose groups,2,4,1.1144568806740724,TRUE,1,AUC0-28d,2528.184416438503,2268.5349790378127
Golimumab,0.3,64,2 dose groups,2,4,1.0120305296770264,TRUE,1,Cmax,26.259193941950798,25.94703733921051
Golimumab,0.3,64,2 dose groups,2,4,0.9047268422657321,TRUE,1,Terminal clearance,0.0524504539686413,0.05797380106164221
